a4;load;failure
3.101976791;0;0
3.577365833;0;0
2.940574324;0;0
3.352784868;0;0
3.712538552;0;0
3.339347145;0;0
2.905080066;0;0
3.277126655;0;0
3.1500565;0;0
3.254730656;0;0
3.33534252;0;0
3.340145;0;0
3.175106783;0;0
4.33257991;0;0
2.999718924;0;0
2.995587658;0;0
3.136417105;0;0
2.850065963;0;0
3.556673779;0;0
3.362936672;0;0
3.455186625;0;0
3.635239083;0;0
3.711754526;0;0
3.236700522;0;0
3.28379257;0;0
3.283358293;0;0
3.170292374;0;0
3.332304707;0;0
2.840956696;0;0
3.190758686;0;0
4.128649071;0;0
2.901399188;0;0
2.953982972;0;0
3.389136771;0;0
2.918916643;0;0
3.312544021;0;0
3.346739372;0;0
3.555886045;0;0
3.482721779;0;0
3.736530901;0;0
3.086484631;0;0
3.386457395;0;0
3.417258416;0;0
3.156493457;0;0
3.662816327;0;0
3.485982514;0;0
3.424687866;0;0
4.087689007;0;0
3.457562775;0;0
3.13894738;0;0
3.265835859;0;0
3.154047149;0;0
3.261401532;0;0
3.372289683;0;0
2.971993202;0;0
3.314448337;0;0
3.985053211;0;0
3.16526176;0;0
3.339379864;0;0
3.573652791;0;0
2.988547723;0;0
3.510087384;0;0
3.200882113;0;0
3.5960921;0;0
3.733505457;0;0
3.823671464;0;0
3.005688681;0;0
3.333475721;0;0
3.221394893;0;0
3.34001287;0;0
3.693880033;0;0
3.137121886;0;0
3.380411096;0;0
4.147120061;0;0
3.292189669;0;0
3.129590121;0;0
3.19738101;0;0
3.151576909;0;0
3.395815542;0;0
3.267716544;0;0
3.521422104;0;0
3.566287583;0;0
3.829150344;0;0
2.95912116;0;0
3.067090844;0;0
3.171612811;0;0
3.26192183;0;0
3.590207824;0;0
3.173971977;10;0
3.654751051;10;0
3.018683165;10;0
3.222103866;10;0
3.568140685;10;0
2.845993185;10;0
3.489543125;10;0
3.861676463;10;0
3.343280489;10;0
3.187203607;10;0
3.33105501;10;0
3.19749765;10;0
3.46037848;10;0
3.102923731;10;0
3.116339536;10;0
4.136397416;10;0
3.463401484;10;0
3.076004939;10;0
3.346491819;10;0
3.455969177;10;0
3.399084837;10;0
3.775349297;10;0
3.647687829;10;0
3.391928901;10;0
4.127151902;10;0
3.159816169;10;0
3.208751969;10;0
3.450927415;10;0
3.024039378;10;0
3.551388395;10;0
3.392697439;10;0
3.684373008;10;0
4.157737049;10;0
3.63699037;10;0
3.285727351;10;0
3.22252533;10;0
3.446682143;10;0
3.165984415;10;0
3.713659905;10;0
2.981738345;10;0
3.183909384;10;0
4.232622255;10;0
3.198659606;10;0
3.152008096;10;0
3.553236437;10;0
3.454951114;10;0
3.648161983;10;0
3.355624846;10;0
3.492365187;10;0
3.649116131;10;0
3.931476477;10;0
3.106462818;10;0
3.105403339;10;0
3.449497001;10;0
2.809420758;10;0
3.529550212;10;0
2.930732169;10;0
3.474123666;10;0
3.958242106;10;0
