a3;load;failure
2.95472358;0;0
3.266855525;0;0
3.006689781;0;0
3.154457209;0;0
3.314856036;0;0
2.956541356;0;0
3.141664171;0;0
3.048225428;0;0
3.14982397;0;0
3.340683256;0;0
3.264751739;0;0
3.324241575;0;0
3.311464809;0;0
3.524778848;0;0
3.097946238;0;0
3.093609379;0;0
3.089648573;0;0
3.015037622;0;0
3.488014934;0;0
3.292974145;0;0
3.300109599;0;0
3.474783165;0;0
3.462469329;0;0
3.127623512;0;0
3.343442944;0;0
3.39363704;0;0
3.039039833;0;0
3.258430118;0;0
3.148055451;0;0
3.237347915;0;0
3.398443598;0;0
2.783320274;0;0
3.005566684;0;0
3.276006233;0;0
3.088576145;0;0
3.178691727;0;0
3.207903265;0;0
3.533029052;0;0
3.312047234;0;0
3.348936004;0;0
3.30507276;0;0
3.327496976;0;0
3.153686071;0;0
2.964676063;0;0
3.393854923;0;0
3.344664723;0;0
3.12865313;0;0
3.508935466;0;0
3.100316631;0;0
3.280577383;0;0
3.242291439;0;0
3.100735984;0;0
3.29194363;0;0
3.308316181;0;0
2.971419207;0;0
3.443560662;0;0
3.465926955;0;0
3.341887681;0;0
3.121349109;0;0
3.426474531;0;0
3.077061631;0;0
3.317611375;0;0
3.578025386;0;0
3.531741234;0;0
3.646780358;0;0
3.563149134;0;0
3.202450637;0;0
3.613614116;0;0
3.583151889;0;0
3.382631499;0;0
3.304538098;0;0
3.102375855;0;0
3.246280239;0;0
3.239632226;0;0
2.979469864;0;0
3.182459015;0;0
2.82610493;0;0
3.060546031;0;0
3.293795881;0;0
3.231542766;0;0
3.616655483;0;0
3.521719877;0;0
3.09552612;0;0
3.146915688;0;0
3.064374399;0;0
3.114868451;0;0
3.270461972;0;0
3.366761483;0;0
3.278799552;10;0
3.455775729;10;0
3.110732655;10;0
3.127408205;10;0
3.463682251;10;0
2.938995566;10;0
3.413600714;10;0
3.437380992;10;0
3.271129576;10;0
3.104920244;10;0
3.393359123;10;0
3.052841172;10;0
3.223009682;10;0
3.348981677;10;0
3.076583348;10;0
3.645419073;10;0
3.281629865;10;0
2.983350715;10;0
2.898703742;10;0
3.366848298;10;0
3.167200272;10;0
3.348268709;10;0
3.4602964;10;0
3.308679063;10;0
3.088365365;10;0
3.04296751;10;0
3.321155121;10;0
3.112915374;10;0
3.072325174;10;0
3.213520571;10;0
3.450741895;10;0
3.34904929;10;0
3.640111715;10;0
3.289220124;10;0
3.11550658;10;0
3.046146078;10;0
3.196712634;10;0
3.072100429;10;0
3.532185165;10;0
2.99560526;10;0
3.182991236;10;0
3.75808425;10;0
3.318003076;10;0
3.048694316;10;0
3.163000991;10;0
3.240644976;10;0
3.148179596;10;0
3.267557007;10;0
3.428406897;10;0
3.478211349;10;0
3.509350161;10;0
3.186180692;10;0
3.095312677;10;0
3.552581505;10;0
2.82526676;10;0
3.165337664;10;0
2.942067247;10;0
3.174754124;10;0
3.513400536;10;0
3.265293976;10;0
3.316040461;10;0
2.897009059;10;0
3.542851587;10;0
2.904804506;10;0
3.34696447;10;0
3.084897493;10;0
3.309798883;10;0
3.318539914;10;0
3.142036175;10;0
3.474298218;10;0
3.060206541;10;0
3.195728297;10;0
3.389284049;10;0
3.125387749;10;0
3.250022829;10;0
3.368572581;10;0
3.277514153;10;0
3.057914271;10;0
3.203260365;10;0
3.217948307;10;0
2.875213726;10;0
3.769711503;10;0
3.061267166;10;0
3.462941325;10;0
3.740665648;10;0
2.988253952;10;0
3.17697138;10;0
3.21333026;10;0
3.223417694;10;0
3.123285708;10;0
3.52505171;10;0
3.079447919;10;0
3.420227264;20;0
3.532055184;20;0
3.92757069;20;0
3.344534478;20;0
3.517291805;20;0
3.370424106;20;0
3.415818783;20;0
3.211088012;20;0
3.862022654;20;0
2.981515499;20;0
3.564804014;20;0
3.51531115;20;0
3.265843354;20;0
3.177810531;20;0
3.314920059;20;0
3.361014376;20;0
3.339189819;20;0
3.453287816;20;0
3.553401103;20;0
3.879369008;20;0
3.420565636;20;0
3.508131003;20;0
3.680534858;20;0
3.374691551;20;0
2.996311296;20;0
3.22744701;20;0
3.123192241;20;0
3.215750691;20;0
3.700981714;20;0
3.086469022;20;0
3.325266761;20;0
3.451771918;20;0
3.256507196;20;0
3.098321589;20;0
3.610389012;20;0
3.486983795;20;0
3.212709969;20;0
3.52633649;20;0
3.486286171;20;0
3.197929265;20;0
3.85088462;20;0
3.131320499;20;0
3.174484122;20;0
3.387103881;20;0
3.551694995;20;0
3.566994847;20;0
3.491291398;20;0
3.472178778;20;0
3.904160551;20;0
3.666088608;20;0
3.097469151;20;0
3.608624046;20;0
3.195083826;20;0
3.37798953;20;0
3.359593627;20;0
3.356322266;20;0
3.414097675;20;0
3.456969082;20;0
3.312099224;20;0
3.188392411;20;0
3.508578272;20;0
3.399962854;20;0
3.477402411;20;0
3.36012392;20;0
3.631649427;20;0
3.816922511;20;0
3.317645618;20;0
3.149627157;20;0
3.582739587;20;0
3.279448412;20;0
3.363051932;20;0
3.731875949;20;0
3.141912485;20;0
3.338379918;20;0
3.681201913;20;0
3.585489758;20;0
3.41328739;20;0
3.560154886;20;0
3.430714759;20;0
3.807154125;20;0
3.496257698;20;0
3.419453203;20;0
3.455364443;20;0
3.589963092;20;0
3.230383313;20;0
3.212775691;20;0
3.391045216;20;0
3.488246037;20;0
3.792080918;20;0
